generation,best,average,best_value,average_value
2286,0.764706,0.764706,0.764706,0.764706
2287,0.764706,0.764706,0.764706,0.764706
2288,0.764706,0.764706,0.764706,0.764706
2289,0.764706,0.764706,0.764706,0.764706
2290,0.764706,0.764706,0.764706,0.764706
2291,0.764706,0.764706,0.764706,0.764706
2292,0.764706,0.764706,0.764706,0.764706
2293,0.764706,0.764706,0.764706,0.764706
2294,0.764706,0.764706,0.764706,0.764706
2295,0.764706,0.745588,0.764706,0.745588
2296,0.764706,0.763235,0.764706,0.763235
2297,0.764706,0.764706,0.764706,0.764706
2298,0.764706,0.764706,0.764706,0.764706
2299,0.764706,0.764706,0.764706,0.764706
2300,0.764706,0.764706,0.764706,0.764706
2301,0.764706,0.764706,0.764706,0.764706
2302,0.764706,0.755147,0.764706,0.755147
2303,0.764706,0.764706,0.764706,0.764706
2304,0.764706,0.764706,0.764706,0.764706
2305,0.764706,0.764706,0.764706,0.764706
2306,0.764706,0.764706,0.764706,0.764706
2307,0.764706,0.764706,0.764706,0.764706
2308,0.764706,0.764706,0.764706,0.764706
2309,0.764706,0.764706,0.764706,0.764706
2310,0.764706,0.764706,0.764706,0.764706
2311,0.764706,0.764706,0.764706,0.764706
2312,0.764706,0.764706,0.764706,0.764706
2313,0.764706,0.758088,0.764706,0.758088
2314,0.764706,0.7625,0.764706,0.7625
2315,0.764706,0.764706,0.764706,0.764706
2316,0.764706,0.760294,0.764706,0.760294
2317,0.764706,0.764706,0.764706,0.764706
2318,0.764706,0.764706,0.764706,0.764706
2319,0.764706,0.750735,0.764706,0.750735
2320,0.764706,0.760294,0.764706,0.760294
2321,0.764706,0.739706,0.764706,0.739706
2322,0.764706,0.749265,0.764706,0.749265
2323,0.764706,0.747059,0.764706,0.747059
2324,0.764706,0.752206,0.764706,0.752206
2325,0.764706,0.756618,0.764706,0.756618
2326,0.764706,0.763235,0.764706,0.763235
2327,0.764706,0.763235,0.764706,0.763235
2328,0.764706,0.739706,0.764706,0.739706
2329,0.764706,0.747059,0.764706,0.747059
2330,0.764706,0.760294,0.764706,0.760294
2331,0.764706,0.748529,0.764706,0.748529
2332,0.764706,0.7625,0.764706,0.7625
2333,0.764706,0.7625,0.764706,0.7625
2334,0.764706,0.764706,0.764706,0.764706
2335,0.764706,0.751471,0.764706,0.751471
2336,0.764706,0.730147,0.764706,0.730147
2337,0.764706,0.733824,0.764706,0.733824
2338,0.764706,0.733824,0.764706,0.733824
2339,0.764706,0.741176,0.764706,0.741176
2340,0.764706,0.744118,0.764706,0.744118
2341,0.764706,0.753676,0.764706,0.753676
2342,0.764706,0.758088,0.764706,0.758088
2343,0.764706,0.7625,0.764706,0.7625
2344,0.764706,0.764706,0.764706,0.764706
2345,0.764706,0.741176,0.764706,0.741176
2346,0.764706,0.764706,0.764706,0.764706
2347,0.764706,0.764706,0.764706,0.764706
2348,0.764706,0.741176,0.764706,0.741176
2349,0.764706,0.7625,0.764706,0.7625
2350,0.764706,0.764706,0.764706,0.764706
2351,0.764706,0.764706,0.764706,0.764706
2352,0.764706,0.764706,0.764706,0.764706
2353,0.764706,0.755147,0.764706,0.755147
2354,0.764706,0.764706,0.764706,0.764706
2355,0.764706,0.764706,0.764706,0.764706
2356,0.764706,0.764706,0.764706,0.764706
2357,0.764706,0.764706,0.764706,0.764706
2358,0.764706,0.764706,0.764706,0.764706
2359,0.764706,0.715441,0.764706,0.715441
2360,0.764706,0.741912,0.764706,0.741912
2361,0.764706,0.735294,0.764706,0.735294
2362,0.764706,0.734559,0.764706,0.734559
2363,0.764706,0.730147,0.764706,0.730147
2364,0.764706,0.752206,0.764706,0.752206
2365,0.764706,0.744118,0.764706,0.744118
2366,0.764706,0.753676,0.764706,0.753676
2367,0.764706,0.760294,0.764706,0.760294
2368,0.764706,0.760294,0.764706,0.760294
2369,0.764706,0.760294,0.764706,0.760294
2370,0.764706,0.764706,0.764706,0.764706
2371,0.764706,0.764706,0.764706,0.764706
2372,0.764706,0.758088,0.764706,0.758088
2373,0.764706,0.758088,0.764706,0.758088
2374,0.764706,0.748529,0.764706,0.748529
2375,0.764706,0.751471,0.764706,0.751471
2376,0.764706,0.751471,0.764706,0.751471
2377,0.764706,0.755882,0.764706,0.755882
2378,0.764706,0.742647,0.764706,0.742647
2379,0.764706,0.755882,0.764706,0.755882
2380,0.764706,0.7625,0.764706,0.7625
2381,0.764706,0.764706,0.764706,0.764706
2382,0.764706,0.755882,0.764706,0.755882
2383,0.764706,0.7625,0.764706,0.7625
2384,0.764706,0.7625,0.764706,0.7625
2385,0.764706,0.764706,0.764706,0.764706
2386,0.764706,0.764706,0.764706,0.764706
2387,0.764706,0.764706,0.764706,0.764706
2388,0.764706,0.764706,0.764706,0.764706
2389,0.764706,0.758088,0.764706,0.758088
2390,0.764706,0.7625,0.764706,0.7625
2391,0.764706,0.764706,0.764706,0.764706
2392,0.764706,0.741176,0.764706,0.741176
2393,0.764706,0.720588,0.764706,0.720588
2394,0.764706,0.738235,0.764706,0.738235
2395,0.764706,0.722059,0.764706,0.722059
2396,0.764706,0.741176,0.764706,0.741176
2397,0.764706,0.732353,0.764706,0.732353
2398,0.764706,0.734926,0.764706,0.734926
2399,0.764706,0.741176,0.764706,0.741176
2400,0.764706,0.734559,0.764706,0.734559
2401,0.764706,0.735294,0.764706,0.735294
2402,0.764706,0.735294,0.764706,0.735294
2403,0.764706,0.751471,0.764706,0.751471
2404,0.764706,0.761029,0.764706,0.761029
2405,0.764706,0.753676,0.764706,0.753676
2406,0.764706,0.753676,0.764706,0.753676
2407,0.764706,0.756618,0.764706,0.756618
2408,0.764706,0.758088,0.764706,0.758088
2409,0.764706,0.751471,0.764706,0.751471
2410,0.764706,0.758088,0.764706,0.758088
2411,0.764706,0.764706,0.764706,0.764706
2412,0.764706,0.764706,0.764706,0.764706
2413,0.764706,0.764706,0.764706,0.764706
2414,0.764706,0.764706,0.764706,0.764706
2415,0.764706,0.764706,0.764706,0.764706
2416,0.764706,0.764706,0.764706,0.764706
2417,0.764706,0.764706,0.764706,0.764706
2418,0.764706,0.764706,0.764706,0.764706
2419,0.764706,0.764706,0.764706,0.764706
2420,0.764706,0.764706,0.764706,0.764706
2421,0.764706,0.764706,0.764706,0.764706
2422,0.764706,0.764706,0.764706,0.764706
2423,0.764706,0.764706,0.764706,0.764706
2424,0.764706,0.764706,0.764706,0.764706
2425,0.764706,0.751471,0.764706,0.751471
2426,0.764706,0.764706,0.764706,0.764706
2427,0.764706,0.752941,0.764706,0.752941
2428,0.764706,0.7625,0.764706,0.7625
2429,0.764706,0.7625,0.764706,0.7625
2430,0.764706,0.7625,0.764706,0.7625
2431,0.764706,0.764706,0.764706,0.764706
2432,0.764706,0.764706,0.764706,0.764706
2433,0.764706,0.764706,0.764706,0.764706
2434,0.764706,0.764706,0.764706,0.764706
2435,0.764706,0.764706,0.764706,0.764706
2436,0.764706,0.764706,0.764706,0.764706
2437,0.764706,0.760294,0.764706,0.760294
2438,0.764706,0.760294,0.764706,0.760294
2439,0.764706,0.760294,0.764706,0.760294
2440,0.764706,0.760294,0.764706,0.760294
2441,0.764706,0.764706,0.764706,0.764706
2442,0.764706,0.764706,0.764706,0.764706
2443,0.764706,0.764706,0.764706,0.764706
2444,0.764706,0.764706,0.764706,0.764706
2445,0.764706,0.755147,0.764706,0.755147
2446,0.764706,0.745588,0.764706,0.745588
2447,0.764706,0.745588,0.764706,0.745588
2448,0.764706,0.745588,0.764706,0.745588
2449,0.764706,0.752941,0.764706,0.752941
2450,0.764706,0.750735,0.764706,0.750735
2451,0.764706,0.750735,0.764706,0.750735
2452,0.764706,0.744118,0.764706,0.744118
2453,0.764706,0.747059,0.764706,0.747059
2454,0.764706,0.753676,0.764706,0.753676
2455,0.764706,0.753676,0.764706,0.753676
2456,0.764706,0.7625,0.764706,0.7625
2457,0.764706,0.764706,0.764706,0.764706
2458,0.764706,0.764706,0.764706,0.764706
2459,0.764706,0.739706,0.764706,0.739706
2460,0.764706,0.730147,0.764706,0.730147
2461,0.764706,0.730147,0.764706,0.730147
2462,0.764706,0.736765,0.764706,0.736765
2463,0.764706,0.736765,0.764706,0.736765
2464,0.764706,0.743015,0.764706,0.743015
2465,0.764706,0.752574,0.764706,0.752574
2466,0.764706,0.748529,0.764706,0.748529
2467,0.764706,0.753676,0.764706,0.753676
2468,0.764706,0.747059,0.764706,0.747059
2469,0.764706,0.716176,0.764706,0.716176
2470,0.764706,0.742647,0.764706,0.742647
2471,0.764706,0.742647,0.764706,0.742647
2472,0.764706,0.749265,0.764706,0.749265
2473,0.764706,0.756618,0.764706,0.756618
2474,0.764706,0.744118,0.764706,0.744118
2475,0.764706,0.753676,0.764706,0.753676
2476,0.764706,0.754779,0.764706,0.754779
2477,0.764706,0.758088,0.764706,0.758088
2478,0.764706,0.758088,0.764706,0.758088
2479,0.764706,0.7625,0.764706,0.7625
2480,0.764706,0.7625,0.764706,0.7625
2481,0.764706,0.7625,0.764706,0.7625
2482,0.764706,0.764706,0.764706,0.764706
2483,0.764706,0.764706,0.764706,0.764706
2484,0.764706,0.764706,0.764706,0.764706
2485,0.764706,0.764706,0.764706,0.764706
2486,0.764706,0.751471,0.764706,0.751471
2487,0.764706,0.764706,0.764706,0.764706
2488,0.764706,0.764706,0.764706,0.764706
2489,0.764706,0.764706,0.764706,0.764706
2490,0.764706,0.764706,0.764706,0.764706
2491,0.764706,0.764706,0.764706,0.764706
2492,0.764706,0.764706,0.764706,0.764706
2493,0.764706,0.764706,0.764706,0.764706
2494,0.764706,0.764706,0.764706,0.764706
2495,0.764706,0.726471,0.764706,0.726471
2496,0.764706,0.703676,0.764706,0.703676
2497,0.764706,0.703676,0.764706,0.703676
2498,0.764706,0.741912,0.764706,0.741912
2499,0.764706,0.744853,0.764706,0.744853
2500,0.764706,0.755147,0.764706,0.755147
2501,0.764706,0.758088,0.764706,0.758088
2502,0.764706,0.7625,0.764706,0.7625
2503,0.764706,0.764706,0.764706,0.764706
2504,0.764706,0.751471,0.764706,0.751471
2505,0.764706,0.727941,0.764706,0.727941
2506,0.764706,0.741912,0.764706,0.741912
2507,0.764706,0.755147,0.764706,0.755147
2508,0.764706,0.764706,0.764706,0.764706
2509,0.764706,0.744853,0.764706,0.744853
2510,0.764706,0.755882,0.764706,0.755882
2511,0.764706,0.755882,0.764706,0.755882
2512,0.764706,0.755882,0.764706,0.755882
2513,0.764706,0.7625,0.764706,0.7625
2514,0.764706,0.7625,0.764706,0.7625
2515,0.764706,0.752941,0.764706,0.752941
2516,0.764706,0.730147,0.764706,0.730147
2517,0.764706,0.732353,0.764706,0.732353
2518,0.764706,0.7375,0.764706,0.7375
2519,0.764706,0.75,0.764706,0.75
2520,0.764706,0.75,0.764706,0.75
2521,0.764706,0.759559,0.764706,0.759559
2522,0.764706,0.752206,0.764706,0.752206
2523,0.764706,0.713235,0.764706,0.713235
2524,0.764706,0.746324,0.764706,0.746324
2525,0.764706,0.755882,0.764706,0.755882
2526,0.764706,0.755882,0.764706,0.755882
2527,0.764706,0.755882,0.764706,0.755882
2528,0.764706,0.760294,0.764706,0.760294
2529,0.764706,0.760294,0.764706,0.760294
2530,0.764706,0.764706,0.764706,0.764706
2531,0.764706,0.764706,0.764706,0.764706
2532,0.764706,0.741176,0.764706,0.741176
2533,0.764706,0.722059,0.764706,0.722059
2534,0.764706,0.745588,0.764706,0.745588
2535,0.764706,0.747059,0.764706,0.747059
2536,0.764706,0.764706,0.764706,0.764706
2537,0.764706,0.764706,0.764706,0.764706
2538,0.764706,0.764706,0.764706,0.764706
2539,0.764706,0.764706,0.764706,0.764706
2540,0.764706,0.758088,0.764706,0.758088
2541,0.764706,0.755882,0.764706,0.755882
2542,0.764706,0.755882,0.764706,0.755882
2543,0.764706,0.705882,0.764706,0.705882
2544,0.764706,0.732353,0.764706,0.732353
2545,0.764706,0.755882,0.764706,0.755882
2546,0.764706,0.7625,0.764706,0.7625
2547,0.764706,0.7625,0.764706,0.7625
2548,0.764706,0.7625,0.764706,0.7625
2549,0.764706,0.764706,0.764706,0.764706
2550,0.764706,0.7625,0.764706,0.7625
2551,0.764706,0.7625,0.764706,0.7625
2552,0.764706,0.764706,0.764706,0.764706
2553,0.764706,0.745588,0.764706,0.745588
2554,0.764706,0.755147,0.764706,0.755147
2555,0.764706,0.755147,0.764706,0.755147
2556,0.764706,0.755147,0.764706,0.755147
2557,0.764706,0.764706,0.764706,0.764706
2558,0.764706,0.764706,0.764706,0.764706
2559,0.764706,0.764706,0.764706,0.764706
2560,0.764706,0.764706,0.764706,0.764706
2561,0.764706,0.764706,0.764706,0.764706
2562,0.764706,0.764706,0.764706,0.764706
2563,0.764706,0.764706,0.764706,0.764706
2564,0.764706,0.764706,0.764706,0.764706
2565,0.764706,0.726471,0.764706,0.726471
2566,0.764706,0.758088,0.764706,0.758088
2567,0.764706,0.764706,0.764706,0.764706
2568,0.764706,0.764706,0.764706,0.764706
2569,0.764706,0.764706,0.764706,0.764706
2570,0.764706,0.764706,0.764706,0.764706
2571,0.764706,0.764706,0.764706,0.764706
2572,0.764706,0.764706,0.764706,0.764706
2573,0.764706,0.764706,0.764706,0.764706
2574,0.764706,0.755147,0.764706,0.755147
2575,0.764706,0.764706,0.764706,0.764706
2576,0.764706,0.764706,0.764706,0.764706
2577,0.764706,0.764706,0.764706,0.764706
2578,0.764706,0.764706,0.764706,0.764706
2579,0.764706,0.747059,0.764706,0.747059
2580,0.764706,0.727941,0.764706,0.727941
2581,0.764706,0.7125,0.764706,0.7125
2582,0.764706,0.725,0.764706,0.725
2583,0.764706,0.734926,0.764706,0.734926
2584,0.764706,0.741544,0.764706,0.741544
2585,0.764706,0.753676,0.764706,0.753676
2586,0.764706,0.751471,0.764706,0.751471
2587,0.764706,0.755882,0.764706,0.755882
2588,0.764706,0.760294,0.764706,0.760294
2589,0.764706,0.750735,0.764706,0.750735
2590,0.764706,0.760294,0.764706,0.760294
2591,0.764706,0.760294,0.764706,0.760294
2592,0.764706,0.7625,0.764706,0.7625
2593,0.764706,0.7625,0.764706,0.7625
2594,0.764706,0.7625,0.764706,0.7625
2595,0.764706,0.7625,0.764706,0.7625
2596,0.764706,0.751471,0.764706,0.751471
2597,0.764706,0.751471,0.764706,0.751471
2598,0.764706,0.745588,0.764706,0.745588
2599,0.764706,0.763235,0.764706,0.763235
2600,0.764706,0.760294,0.764706,0.760294
2601,0.764706,0.764706,0.764706,0.764706
2602,0.764706,0.764706,0.764706,0.764706
2603,0.764706,0.764706,0.764706,0.764706
2604,0.764706,0.764706,0.764706,0.764706
2605,0.764706,0.764706,0.764706,0.764706
2606,0.764706,0.764706,0.764706,0.764706
2607,0.764706,0.7625,0.764706,0.7625
2608,0.764706,0.7625,0.764706,0.7625
2609,0.764706,0.7625,0.764706,0.7625
2610,0.764706,0.752941,0.764706,0.752941
2611,0.764706,0.741912,0.764706,0.741912
2612,0.764706,0.759191,0.764706,0.759191
2613,0.764706,0.749632,0.764706,0.749632
2614,0.764706,0.759191,0.764706,0.759191
2615,0.764706,0.759191,0.764706,0.759191
2616,0.764706,0.745221,0.764706,0.745221
2617,0.764706,0.711029,0.764706,0.711029
2618,0.764706,0.738971,0.764706,0.738971
2619,0.764706,0.761029,0.764706,0.761029
2620,0.764706,0.763235,0.764706,0.763235
2621,0.764706,0.763235,0.764706,0.763235
2622,0.764706,0.763235,0.764706,0.763235
2623,0.764706,0.760294,0.764706,0.760294
2624,0.764706,0.715441,0.764706,0.715441
2625,0.764706,0.740441,0.764706,0.740441
2626,0.764706,0.753676,0.764706,0.753676
2627,0.764706,0.760294,0.764706,0.760294
2628,0.764706,0.760294,0.764706,0.760294
2629,0.764706,0.764706,0.764706,0.764706
2630,0.764706,0.764706,0.764706,0.764706
2631,0.764706,0.755147,0.764706,0.755147
2632,0.764706,0.764706,0.764706,0.764706
2633,0.764706,0.764706,0.764706,0.764706
2634,0.764706,0.758088,0.764706,0.758088
2635,0.764706,0.758088,0.764706,0.758088
2636,0.764706,0.758088,0.764706,0.758088
2637,0.764706,0.764706,0.764706,0.764706
2638,0.764706,0.764706,0.764706,0.764706
2639,0.764706,0.755147,0.764706,0.755147
2640,0.764706,0.764706,0.764706,0.764706
2641,0.764706,0.764706,0.764706,0.764706
2642,0.764706,0.764706,0.764706,0.764706
2643,0.764706,0.764706,0.764706,0.764706
